"ID","freq","usage"
1,4,4
2,1,62
3,1,4
4,0,0
5,1,21
6,3,8
7,3,17
8,2,5
9,0,0
10,0,0
11,4,12
12,3,54
13,3,14
14,3,17
15,1,62
16,0,0
17,3,18
18,9,32
19,8,16
20,4,1
21,4,45
22,4,2
23,1,1
24,1,5
25,3,25
26,5,17
27,8,32
28,0,0
29,0,0
30,2,7
31,1,24
32,2,4
33,3,3
34,4,5
35,3,14
36,2,6
37,2,1
38,0,0
39,3,73
40,3,0
41,3,11
42,4,26
43,6,121
44,2,27
45,4,8
46,4,19
47,5,8
48,3,15
49,1,14
50,2,28
51,7,13
52,7,30
53,2,0
54,5,24
55,4,8
56,2,3
57,0,0
58,1,7
59,6,10
60,6,1
61,6,27
62,0,0
63,6,41
64,6,1
65,1,57
66,2,11
67,2,55
68,4,116
69,6,34
70,1,15
71,0,0
72,0,0
73,5,6
74,9,21
75,2,8
76,4,1
77,5,31
78,4,2
79,6,8
80,2,17
81,2,3
82,5,11
83,7,2
84,1,6
85,0,0
86,0,0
87,0,0
88,3,0
89,0,0
90,2,65
91,3,17
92,0,0
93,6,12
94,2,6
95,3,38
96,1,19
97,3,18
98,3,13
99,4,14
100,2,6
101,3,17
102,5,14
103,7,14
104,1,1
105,1,1
106,5,22
107,5,54
108,4,0
109,6,18
110,5,50
111,5,8
112,0,0
113,4,53
114,2,32
115,1,18
116,6,3
117,3,120
118,5,47
119,0,0
120,0,0
121,3,64
122,2,67
123,5,52
124,3,7
125,0,0
126,0,0
127,10,24
128,7,13
129,1,86
130,11,4
131,5,30
132,0,0
133,2,13
134,2,39
135,5,7
136,2,29
137,0,0
138,6,12
139,1,9
140,3,33
141,8,13
142,7,18
143,2,16
144,1,47
145,1,52
146,2,3
147,5,0
148,1,3
149,4,45
150,2,14
151,0,0
152,1,19
153,3,35
154,5,4
155,1,4
156,0,0
157,5,7
158,0,0
159,2,75
160,4,19
161,3,10
162,0,0
163,1,9
164,4,16
165,1,78
166,2,19
167,0,0
168,0,0
169,2,30
170,3,21
171,2,92
172,1,69
173,0,0
174,5,8
175,6,76
176,17,22
177,4,3
178,2,0
179,6,11
180,4,2
181,9,62
182,2,13
183,1,6
184,3,9
185,2,87
186,3,1
187,1,5
188,2,9
189,2,26
190,1,18
191,2,12
192,2,5
193,2,4
194,2,85
195,2,54
196,1,32
197,3,38
198,5,16
199,0,0
200,2,14
201,5,10
202,3,29
203,5,33
204,1,11
205,5,34
206,4,15
207,3,9
208,5,63
209,3,18
210,3,28
211,3,20
212,4,7
213,1,9
214,4,40
215,5,1
216,3,7
217,1,58
218,0,0
219,7,19
220,0,0
221,6,6
222,0,0
223,2,17
224,6,15
225,0,0
226,3,4
227,1,19
228,0,0
229,3,16
230,1,9
231,3,6
232,1,4
233,3,51
234,8,32
235,5,8
236,2,4
237,4,40
238,11,37
239,2,20
240,6,9
241,0,0
242,0,0
243,0,0
244,0,0
245,11,8
246,7,26
247,2,34
248,2,11
249,3,9
250,1,9
251,3,38
252,3,6
253,2,11
254,1,22
255,4,4
256,1,16
257,1,93
258,2,28
259,2,19
260,2,36
261,3,3
262,3,46
263,7,36
264,2,81
265,3,0
266,2,1
267,4,16
268,0,0
269,0,0
270,1,23
271,2,18
272,1,30
273,1,16
274,2,9
275,5,34
276,0,0
277,0,0
278,1,12
279,3,2
280,5,29
281,3,9
282,4,48
283,12,9
284,4,12
285,11,14
286,0,0
287,0,0
288,4,10
289,3,22
290,3,1
291,7,5
292,0,0
293,1,24
294,2,18
295,1,18
296,2,3
297,3,4
298,1,19
299,2,6
300,4,1
301,6,9
302,1,5
303,1,14
304,6,127
305,1,14
306,6,26
307,3,7
308,5,10
309,0,0
310,2,10
311,0,0
312,0,0
313,11,43
314,6,79
315,3,5
316,2,4
317,0,0
318,1,38
319,0,0
320,0,0
321,3,2
322,1,10
323,6,41
324,13,26
325,6,24
326,1,22
327,2,50
328,1,60
329,12,6
330,3,37
331,0,0
332,5,19
333,3,4
334,2,24
335,1,0
336,2,24
337,0,0
338,2,6
339,5,61
340,2,9
341,8,1
342,2,21
343,0,0
344,0,0
345,0,0
346,7,21
347,7,8
348,5,6
349,3,5
350,0,0
351,5,38
352,3,16
353,7,20
354,1,9
355,5,39
356,4,41
357,10,8
358,2,0
359,7,3
360,4,4
361,2,15
362,2,17
363,2,4
364,2,18
365,2,13
366,3,3
367,2,5
368,1,22
369,6,8
370,4,3
371,0,0
372,3,5
373,4,33
374,4,23
375,3,7
376,1,22
377,5,68
378,4,13
379,4,1
380,5,20
381,3,13
382,1,0
383,0,0
384,5,1
385,3,38
386,1,30
387,2,75
388,3,8
389,2,110
390,6,27
391,4,10
392,7,29
393,9,21
394,1,0
395,3,43
396,1,10
397,3,3
398,1,35
399,6,30
400,2,5
